Date,SPX,Amazon
8/9/16,2181.73999,768.309998
8/10/16,2175.48999,768.559998
8/11/16,2185.790039,771.23999
8/12/16,2184.050049,772.559998
8/15/16,2190.149902,768.48999
8/16/16,2178.149902,764.039978
8/17/16,2182.219971,764.630005
8/18/16,2187.02002,764.460022
8/19/16,2183.870117,757.309998
8/22/16,2182.639893,759.47998
8/23/16,2186.899902,762.450012
8/24/16,2175.439941,757.25
8/25/16,2172.469971,759.219971
8/26/16,2169.040039,769
8/29/16,2180.379883,771.289978
8/30/16,2176.120117,767.580017
8/31/16,2170.949951,769.159973
9/1/16,2170.860107,770.619995
9/2/16,2179.97998,772.440002
9/6/16,2186.47998,788.869995
9/7/16,2186.159912,784.47998
9/8/16,2181.300049,784.059998
9/9/16,2127.810059,760.140015
9/12/16,2159.040039,771.48999
9/13/16,2127.02002,761.01001
9/14/16,2125.77002,761.090027
9/15/16,2147.26001,769.690002
9/16/16,2139.159912,778.52002
9/19/16,2139.120117,775.099976
9/20/16,2139.76001,780.219971
9/21/16,2163.120117,789.73999
9/22/16,2177.179932,804.700012
9/23/16,2164.689941,805.75
9/26/16,2146.100098,799.159973
9/27/16,2159.929932,816.109985
9/28/16,2171.370117,828.719971
9/29/16,2151.129883,829.049988
9/30/16,2168.27002,837.309998
10/3/16,2161.199951,836.73999
10/4/16,2150.48999,834.030029
10/5/16,2159.72998,844.359985
10/6/16,2160.77002,841.659973
10/7/16,2153.73999,839.429993
10/10/16,2163.659912,841.710022
10/11/16,2136.72998,831
10/12/16,2139.179932,834.090027
10/13/16,2132.550049,829.280029
10/14/16,2132.97998,822.960022
10/17/16,2126.5,812.950012
10/18/16,2139.600098,817.650024
10/19/16,2144.290039,817.690002
10/20/16,2141.340088,810.320007
10/21/16,2141.159912,818.98999
10/24/16,2151.330078,838.090027
10/25/16,2143.159912,835.179993
10/26/16,2139.429932,822.590027
10/27/16,2133.040039,818.359985
10/28/16,2126.409912,776.320007
10/31/16,2126.149902,789.820007
11/1/16,2111.719971,785.409973
11/2/16,2097.939941,765.559998
11/3/16,2088.659912,767.030029
11/4/16,2085.179932,755.049988
11/7/16,2131.52002,784.929993
11/8/16,2139.560059,787.75
11/9/16,2163.26001,771.880005
11/10/16,2167.47998,742.380005
11/11/16,2164.449951,739.01001
11/14/16,2164.199951,719.070007
11/15/16,2180.389893,743.23999
11/16/16,2176.939941,746.48999
11/17/16,2187.120117,756.400024
11/18/16,2181.899902,760.159973
11/21/16,2198.179932,780
11/22/16,2202.939941,785.330017
11/23/16,2204.719971,780.119995
11/25/16,2213.350098,780.369995
11/28/16,2201.719971,766.77002
11/29/16,2204.659912,762.52002
11/30/16,2198.810059,750.570007
12/1/16,2191.080078,743.650024
12/2/16,2191.949951,740.340027
12/5/16,2204.709961,759.359985
12/6/16,2212.22998,764.719971
12/7/16,2241.350098,770.419983
12/8/16,2246.189941,767.330017
12/9/16,2259.530029,768.659973
12/12/16,2256.959961,760.119995
12/13/16,2271.719971,774.340027
12/14/16,2253.280029,768.820007
12/15/16,2262.030029,761
